a,X,Y,Z
,0.16745,-0.29993,-0.97771
,-0.01062,-0.35959,-1.47859
,0.42572,0.173874,0.234268
,-0.74385,0.243561,-0.86768
,1.525452,-0.35515,-2.34972
,-0.31197,0.134186,0.593597
,-0.08707,0.38942,-0.69423
,0.380966,-0.02989,-1.67581
,0.072342,-0.36031,-0.4722
,,,
,0.034225,-0.80118,-0.78152
,0.181366,-0.38457,-0.04073
,-0.88487,0.650803,-1.46263
,0.753159,0.26825,-2.50998
,-0.36282,-0.12944,0.679749
,-0.13698,0.344193,-0.52864
,0.079178,-0.18953,-1.22238
,,,
,-0.11934,-0.69972,-0.69736
,0.364075,-0.68643,-0.79259
,-0.01637,0.138672,0.121338
,-0.12248,0.288986,-2.25191
,0.097748,0.368835,-0.14383
,-0.16827,-0.23901,0.334488
,0.134369,-0.46352,-2.62714
,-0.05818,-0.17261,-0.70171
,,,
,-0.06738,-0.8759,-0.53648
,0.529434,-0.86636,-0.58031
,0.326569,0.313904,-0.04053
,-0.17294,0.49675,-2.34628
,0.376419,0.215973,-0.61787
,-0.27698,-0.32126,0.531891
,0.054459,0.092331,-2.89252
,-0.05688,-0.13533,-1.03748
,,,
,-0.05347,-0.87663,-0.83321
,0.517883,-0.05399,0.415634
,-1.31693,0.594009,-2.41064
,0.399017,0.376404,-1.95085
,-0.06198,-0.30316,0.697678
,-0.37033,0.248505,-1.49377
,-0.05771,-0.13101,-0.74805
,,,
,-0.13718,-0.92331,-0.38573
,0.204056,-0.87889,-1.04459
,-0.38104,0.400497,0.029282
,-0.04303,0.503387,-2.68282
,0.036514,0.2715,0.141586
,-0.15869,0.017746,-0.02766
,0.04509,0.125854,-3.04811
,-0.07068,-0.21922,-0.34021
,,,
,-0.17685,-0.65524,-0.8541
,0.494797,-0.74741,-0.55724
,-0.56694,0.361206,-0.04811
,0.646698,0.092392,-2.53612
,0.033325,-0.00694,0.403595
,-0.18788,-0.02188,-0.25418
,0.012634,-0.24892,-1.80618
,,,
,-0.24109,-0.79906,-0.80589
,0.513718,-0.52174,-0.24316
,-0.8459,0.61734,-0.62473
,1.006744,0.079117,-3.28041
,-0.03543,0.081146,0.564819
,-0.27444,0.140701,-0.39705
,-0.18324,-0.26302,-1.95993
,-0.08649,-0.33415,-0.61285
,,,
,-0.12834,-0.51418,-0.84175
,0.746048,-0.44168,-0.2123
,-0.37244,0.256363,0.002869
,0.299301,0.279358,-3.08202
,0.143326,-0.00316,0.057251
,-0.11923,0.009094,-0.26645
,0.209549,0.039536,-1.68109
,0.113403,-0.0114,-0.82674
,,,
,0.166306,-0.6714,-0.71191
,0.353317,-0.46924,-0.33966
,-0.94601,0.379807,-0.55325
,0.906235,0.328491,-2.26904
,0.006042,-0.28891,0.529419
,0.150391,-0.0276,-1.03862
,0.045456,-0.18918,-0.99582
,,,
,-0.02892,-0.69011,-0.71664
,0.36647,-0.80414,-0.96675
,0.122635,-0.44128,-0.03804
,-0.57936,0.516571,-2.25397
,0.3228,0.457977,-2.19727
,-0.02884,-0.38356,0.272583
,-0.0591,-0.03569,-0.72827
,-0.01093,-0.24345,-0.97284
,,,
,0.03624,-0.43884,-0.91127
,0.566956,-0.54515,-1.23723
,-0.3409,0.265594,-0.09669
,0.080856,0.597855,-1.77591
,0.106613,0.143188,-0.21275
,0.017792,-0.49704,0.343338
,0.076569,0.121582,-1.00148
,0.124405,-0.12585,-1.23921
,,,
,0.128098,-0.51045,-0.89133
,0.753571,-0.55794,-0.50067
,-0.42863,0.209747,-0.03596
,0.264618,0.09314,-2.44626
,0.3069,0.333252,-0.05649
,-0.07338,-0.2267,0.032166
,0.541,-0.0262,-2.45802
,,,
,0.070953,-0.8159,-0.51593
,0.512329,-0.89098,-0.31627
,-0.26993,0.237488,-0.21019
,0.01416,0.075531,-2.14624
,0.189209,0.28508,-0.25444
,-0.23238,-0.39911,0.465698
,0.226196,0.167404,-2.11087
,,,
,0.09462,-0.7617,-0.84827
,0.621628,-0.46822,-0.13359
,-0.74284,0.688034,-0.98857
,0.485199,0.103119,-1.80835
,0.139343,-0.02646,-0.25816
,-0.19371,-0.31982,0.225159
,0.25975,-0.12856,-2.45821
,0.06369,0.009628,-0.83249
,,,
,0.014084,-0.32962,-1.12448
,0.539215,-0.1496,-0.01216
,-1.04062,0.698822,-0.64893
,0.877884,0.248077,-3.24312
,0.077789,-0.20419,0.855392
,-0.18799,0.820068,-2.09663
,0.250214,0.082825,-1.13615
,,,
,0.135956,-0.7363,-0.94113
,0.637955,-0.29794,0.120819
,-1.2196,0.987732,-0.11206
,1.001053,0.476166,-3.41008
,0.033127,0.128357,0.208832
,-0.11658,-0.27766,0.478058
,0.243362,0.369766,-2.55025
,,,
,0.327164,-0.53749,-1.13086
,0.491043,-0.24481,0.083069
,-0.72505,1.185471,-1.16995
,0.969894,0.169037,-2.81671
,0.156448,0.005692,-0.1313
,-0.15584,-0.25513,0.419281
,0.264633,0.149765,-2.42465
,,,
,0.432953,-0.81566,-0.56097
,-0.23827,0.327942,0.241425
,0.82666,0.924026,-3.37936
,0.272736,0.451996,-0.21394
,-0.05582,-0.2449,0.956131
,-0.0621,0.951538,-1.85875
,0.192169,-0.03691,-1.10866
,,,
,0.227127,-0.96481,-0.74065
,0.50174,-0.1339,0.066055
,-0.87793,1.36937,-2.05368
,0.233521,0.77037,-1.87761
,0.030243,-0.09445,0.251648
,-0.22649,0.052475,0.097412
,0.031128,0.003265,-3.12859
,-0.00432,-0.01964,-0.25571
