G,X,Y,Z
,-0.022796631,-0.917572021,-0.169952393
,0.012542725,-0.962402344,-0.131454468
,0.610717773,-1.112579346,-0.159164429
,-0.602462769,-0.114135742,-0.090805054
,0.046569824,-0.565444946,-2.029983521
,0.585845947,-0.561813354,-0.826065063
,-0.056854248,-0.63659668,-0.201599121
,-0.661102295,-0.84161377,-0.710327148
,0.492126465,-0.266220093,0.21786499
,0.368499756,-0.815200806,-2.054489136
,0.057327271,-0.595687866,-0.673278809
,,,
,-0.0184021,-0.944747925,-0.095550537
,0.279327393,-1.084350586,-0.221832275
,0.426651001,-0.533355713,0.010681152
,-0.931350708,-0.153381348,-0.649765015
,0.244598389,-0.605773926,-2.436721802
,0.542572021,-0.38067627,-0.08757019
,-1.176025391,-1.01449585,-0.931488037
,0.073181152,-0.682479858,-0.08505249
,0.173248291,-0.234970093,-0.216140747
,0.05456543,-0.60369873,-1.65612793
,,,
,-0.06288147,-1.049804688,-0.289779663
,0.41784668,-1.089370728,-0.260635376
,0.018692017,-0.292785645,0.03338623
,-0.53326416,-0.678970337,-0.888458252
,0.579101563,-0.798934937,-1.951950073
,0.3984375,-0.356674194,-0.094268799
,-0.613449097,-0.866424561,-0.474090576
,0.019699097,-0.749069214,-0.345092773
,0.307388306,-0.46635437,-0.310577393
,0.09765625,-1.064666748,-0.954620361
,,,
,0.086257935,-1.06211853,-0.03163147
,0.288818359,-0.700561523,-0.061935425
,-0.113861084,-0.337188721,-0.150436401
,-0.384933472,-1.21232605,-1.654190063
,0.725753784,-0.701873779,-0.395721436
,-0.200622559,-0.423995972,0.024963379
,-0.456863403,-0.98651123,-0.377166748
,0.33934021,-0.4296875,0.061203003
,0.111724854,-1.917602539,-0.194107056
,,,
,-0.002975464,-0.95513916,-0.102096558
,0.574249268,-0.945968628,-0.146270752
,-0.496963501,-0.089706421,-0.172149658
,-0.704788208,-0.696655273,-1.593215942
,0.570602417,-0.750610352,-0.710220337
,0.296051025,-0.328536987,-0.124481201
,-0.448074341,-1.453186035,-0.505935669
,0.143310547,-0.547927856,0.146636963
,0.151321411,-0.689407349,-0.436264038
,,,
,0.379745483,-1.519348145,-0.190933228
,0.258483887,-0.574142456,0.302871704
,-0.47416687,-0.507766724,-0.027755737
,-0.605422974,-1.55632019,-0.671310425
,0.469009399,-0.943511963,-0.397720337
,0.303390503,-0.541213989,0.014862061
,-0.980484009,-1.582977295,0.318771362
,0.208953857,-0.5809021,0.129882813
,0.346511841,-0.856079102,-0.063217163
,,,
,0.074493408,-1.055862427,-0.245910645
,0.283813477,-0.948791504,-0.198165894
,0.130599976,-0.417755127,0.28062439
,-0.662643433,-0.986358643,-0.512954712
,0.278167725,-1.278945923,-1.420532227
,0.44694519,-0.470413208,0.170089722
,-0.53918457,-1.182723999,-0.112991333
,0.101669312,-0.579345703,0.254623413
,0.204071045,-0.728530884,-0.115707397
,,,
,0.075759888,-0.946121216,-0.079483032
,0.493209839,-0.766387939,-0.170135498
,-0.254241943,-0.023010254,-0.26411438
,-1.12487793,-0.442428589,-1.872024536
,0.59437561,-0.592437744,-0.353866577
,0.251220703,-0.16973877,-0.023773193
,-0.356140137,-0.804718018,-0.400024414
,0.292800903,-0.336883545,0.052108765
,0.425704956,-1.665756226,-1.205917358
,,,
,0.042221069,-1.166046143,0.075500488
,0.364471436,-0.716491699,0.18182373
,-0.576507568,-0.128204346,-0.579223633
,0.850738525,-0.967437744,-2.724349976
,0.696609497,-0.077682495,0.464080811
,-0.302230835,-0.488265991,-0.020721436
,-0.113815308,-0.965179443,-0.255493164
,0.153869629,-0.276306152,0.266113281
,0.373535156,-1.725387573,-0.81791687
,0.112762451,-0.879592896,-0.196716309
,,,
,0.073440552,-0.938568115,-0.224075317
,0.744628906,-0.817047119,0.115814209
,-0.220962524,0.120834351,-0.059539795
,0.029434204,-0.147888184,-2.544433594
,1.006332397,-0.466156006,-0.843444824
,0.312530518,-0.33013916,0.209213257
,-0.44631958,-0.927703857,-0.719818115
,0.06942749,-0.432220459,0.274932861
,0.338623047,-1.455764771,-1.053436279
,,,
,0.102554321,-1.013961792,-0.116409302
,0.335479736,-0.861297607,-0.126663208
,-0.398376465,-0.052230835,0.093673706
,-0.856643677,-0.898956299,-1.626556396
,0.789794922,-0.748855591,-0.612884521
,0.287582397,-0.296936035,0.026855469
,-0.276641846,-0.966659546,-0.286361694
,0.286773682,-0.775299072,0.025466919
,-0.01725769,-1.286499023,-0.231185913
,,,
,-0.005233765,-0.97227478,-0.23500061
,0.460525513,-0.885299683,0.225769043
,-0.71081543,-0.212341309,0.034988403
,-0.463775635,-1.480041504,-1.543395996
,0.527908325,-0.902130127,-0.246063232
,0.11882019,-0.444732666,0.164749146
,-0.662582397,-1.317184448,-0.18057251
,0.107498169,-0.643936157,0.198303223
,0.01802063,-1.077438354,-0.153137207
,,,
,0.092407227,-0.909042358,-0.07661438
,0.511535645,-0.657989502,0.128219604
,-0.437393188,-0.277359009,-0.338348389
,-0.298339844,-0.542541504,-2.008102417
,0.884078979,-0.645095825,-1.005050659
,0.189529419,-0.431655884,0.242919922
,-0.679244995,-1.666366577,-0.405715942
,0.114440918,-0.606750488,0.022872925
,0.155853271,-1.031829834,-0.21572876
,0.097839355,-0.984725952,-0.408111572
,,,
,0.135604858,-1.203964233,-0.101699829
,0.482025146,-0.403778076,0.107345581
,-0.660232544,-0.568496704,-0.38571167
,0.237426758,-1.120559692,-1.857269287
,0.736938477,-0.575454712,-0.144744873
,0.19392395,-0.414489746,0.05569458
,-0.285995483,-0.545303345,-0.17666626
,0.26524353,-0.772445679,0.090103149
,0.141113281,-1.29145813,-0.232940674
,,,
,0.058700562,-1.131652832,-0.171264648
,0.514877319,-0.577255249,0.389099121
,-0.734191895,-0.27331543,-0.544631958
,-0.513198853,-1.226593018,-1.411911011
,0.61505127,-0.857223511,-0.479492188
,0.239059448,-0.17527771,0.228790283
,-0.180709839,-1.102035522,-0.568954468
,0.136566162,-0.631713867,0.074264526
,0.212905884,-0.793457031,-0.070632935
,,,
,-0.007232666,-1.013687134,-0.022216797
,0.527359009,-0.96875,0.083312988
,-0.317596436,-0.176773071,-0.184570313
,-0.466674805,-1.532089233,-1.255447388
,0.88269043,-0.991226196,-0.543304443
,0.269775391,-0.404983521,0.173187256
,-0.622741699,-1.367370605,-0.35597229
,0.138381958,-0.45765686,0.114517212
,-0.049209595,-1.301467896,-0.360748291
,,,
,0.017532349,-0.95539856,-0.096084595
,0.457199097,-0.824111938,0.029449463
,-0.275756836,-0.293106079,-0.137359619
,-0.407821655,-1.610549927,-1.159255981
,0.70539856,-1.09336853,-0.428085327
,0.407791138,-0.21522522,0.06968689
,-0.781677246,-1.317169189,-0.697402954
,0.200790405,-0.554000854,0.125473022
,0.211776733,-1.202133179,-0.174423218
,,,
,0.074035645,-1.152526855,-0.156402588
,0.44631958,-0.357391357,0.111679077
,-0.707580566,-0.565170288,-0.740112305
,-0.089248657,-1.221847534,-1.936523438
,0.500915527,-0.470367432,-0.035705566
,-0.250610352,-0.659255981,-0.092681885
,-0.062698364,-0.882202148,0.163742065
,0.041015625,-0.341491699,-0.114440918
,0.04069519,-1.351867676,-0.736862183
,,,
,0.112640381,-1.019348145,-0.113739014
,0.467681885,-0.930130005,-0.047332764
,0.067199707,-0.210845947,0.073532104
,-0.936843872,-1.161834717,-0.60546875
,0.248840332,-1.00302124,-1.554031372
,0.453811646,-0.243011475,0.125457764
,-0.786849976,-1.664703369,-0.111618042
,-0.070571899,-0.492446899,0.281021118
,0.149810791,-0.593902588,-0.163772583
,0.166091919,-1.127670288,-0.675552368
,,,
,-0.059585571,-1.112319946,-0.111297607
,0.541168213,-0.580551147,0.238204956
,-0.967880249,-0.156448364,-0.337524414
,-0.287918091,-0.97593689,-2.098739624
,0.722122192,-0.456466675,-0.296875
,0.179168701,-0.448074341,-0.002075195
,-0.166229248,-0.688842773,-0.107452393
,0.191970825,-0.455627441,0.109405518
,0.06489563,-1.155853271,-0.54234314
