H,X,Y,Z
,0.005233765,-1.039398193,0.064819336
,-0.21673584,-0.95362854,0.396591187
,0.037002563,0.530761719,0.148895264
,0.170043945,-0.520111084,-3.187728882
,-0.234802246,0.050857544,1.348205566
,0.170928955,0.232070923,-0.38142395
,0.185897827,0.377349854,-0.73260498
,-1.751266479,-0.417205811,-0.482330322
,1.314300537,-0.712982178,-0.502838135
,0.052520752,-1.005599976,-0.252853394
,,,
,-0.104568481,-0.884963989,0.011276245
,0.007461548,-0.068893433,0.206115723
,0.572357178,-0.539413452,-4.1144104
,-0.247848511,0.05406189,0.173599243
,-0.037445068,-0.106216431,0.418289185
,1.729141235,-1.188491821,-4.39239502
,-0.623809814,-0.02746582,-0.267471313
,-0.737030029,-0.654907227,-0.840118408
,0.699493408,-0.794647217,-0.850463867
,,,
,-0.062530518,-0.721054077,0.238418579
,-0.073379517,0.141113281,-0.144607544
,0.434066772,-0.377487183,-3.081344604
,-0.216690063,-0.09703064,0.413879395
,-0.019058228,0.024780273,0.55506897
,0.741943359,-1.350738525,-4.580795288
,-0.193939209,0.492248535,-0.034606934
,-1.615753174,-0.549911499,-0.33744812
,0.987030029,-0.815750122,-0.532623291
,0.127471924,-0.883926392,-0.160614014
,,,
,-0.054397583,-0.405395508,0.416702271
,0.391983032,0.036087036,-1.764007568
,0.194000244,0.302658081,-1.4324646
,-0.29359436,-0.12902832,0.624649048
,0.223068237,0.527038574,-0.894271851
,0.948638916,0.254745483,-1.123718262
,-1.160049438,-0.422210693,-0.568786621
,-0.141891479,-0.316467285,-0.885101318
,0.491241455,-0.954238892,-0.650909424
,,,
,-0.04649353,-0.730163574,0.155883789
,-0.02746582,0.436965942,-0.108154297
,0.438751221,0.251739502,-3.126571655
,-0.239868164,-0.068771362,0.562927246
,-0.059951782,0.310043335,0.49836731
,1.186767578,-0.790863037,-3.306518555
,-0.774459839,0.102294922,-0.443206787
,-0.616760254,-0.352249146,-1.206085205
,0.849868774,-0.935287476,-0.858352661
,,,
,-0.025726318,-1.044494629,-0.191543579
,-0.005401611,-0.147705078,0.295135498
,0.914413452,0.131378174,-4.194885254
,-0.123519897,0.581863403,-0.215362549
,-0.101150513,-0.16809082,0.592971802
,1.161621094,-0.246780396,-3.907348633
,-0.056762695,0.545852661,0.295913696
,-1.380279541,-0.366912842,-0.719955444
,0.905929565,-0.595214844,-0.676498413
,0.238525391,-0.846557617,-0.418197632
,,,
,-0.106658936,-0.839080811,0.213668823
,-0.034286499,-0.375610352,0.4246521
,0.709289551,-0.373260498,-3.106887817
,-0.222717285,0.141525269,-0.481521606
,-0.093429565,-0.201187134,0.504898071
,0.705276489,-0.464065552,-2.529785156
