Q,X,Y,Z
,-0.064605713,-0.844833374,-0.302703857
,0.466278076,-0.933532715,-0.254837036
,-0.758346558,-1.185073853,-1.001037598
,-0.450866699,-0.496337891,-0.193862915
,0.594787598,-0.432022095,-0.253189087
,0.36920166,-1.301513672,-0.824874878
,-0.738449097,-0.306060791,-0.267150879
,0.514175415,-1.285568237,-0.65675354
,,,
,0.440002441,-0.96131897,-0.23336792
,-0.740753174,-1.26574707,-0.579025269
,-0.46395874,-0.67250061,0.007080078
,0.238327026,-0.639678955,0.02204895
,0.584442139,-1.116485596,-0.211395264
,-0.563308716,-0.862960815,-0.271652222
,-0.046875,-0.803039551,-0.28263855
,0.134460449,-0.987335205,-0.280822754
,,,
,0.267059326,-1.15083313,-0.290527344
,-0.762420654,-1.213241577,-0.50730896
,-0.54196167,-0.536727905,-0.113128662
,0.412094116,-0.465805054,0.049865723
,0.311813354,-1.507156372,-0.324295044
,-0.416488647,-0.780975342,-0.196060181
,0.262573242,-1.231231689,-0.25982666
,-0.007537842,-0.929595947,-0.199264526
,,,
,0.070632935,-0.993026733,-0.275054932
,0.104187012,-0.919891357,-0.089996338
,-0.401977539,-1.254562378,-0.670623779
,-0.458557129,-0.459762573,-0.134536743
,0.640319824,-0.521682739,0.018768311
,-0.240905762,-1.728012085,-0.86328125
,-0.474899292,-0.454940796,-0.298660278
,0.265914917,-1.1328125,-0.040374756
,,,
,-0.039764404,-1.08493042,-0.486190796
,0.084655762,-1.249984741,-0.328521729
,-0.76385498,-0.621154785,-0.015045166
,0.324447632,-0.406677246,0.271743774
,0.549667358,-1.718566895,-0.498336792
,-0.548156738,-0.51512146,-0.355621338
,0.378738403,-1.454803467,-0.487289429
,,,
,0.199264526,-1.482757568,-1.142333984
,-0.682800293,-0.638595581,-0.228088379
,0.367706299,-0.259979248,0.195877075
,0.280090332,-1.664733887,-0.391494751
,-0.300643921,-0.594009399,-0.279205322
,0.462356567,-1.421264648,-0.371765137
,,,
,0.202255249,-0.706542969,-0.210037231
,-0.619781494,-1.132553101,-0.53453064
,-0.311889648,-0.3621521,-0.258300781
,0.876144409,-0.715316772,-0.148300171
,-0.504196167,-1.230453491,-0.615951538
,-0.497467041,-0.476028442,-0.291473389
,0.020751953,-0.875473022,-0.293319702
,,,
,0.365936279,-1.339691162,-0.449951172
,-0.588256836,-0.859146118,-0.182098389
,-0.205718994,-0.46963501,0.109558105
,0.863311768,-0.879379272,-0.118484497
,-0.216018677,-1.244995117,-0.435287476
,-0.556747437,-0.520996094,-0.49621582
,0.108383179,-0.870681763,-0.298171997
,,,
,0.218536377,-1.03125,-0.357635498
,-0.712783813,-1.005111694,-0.400375366
,-0.152191162,-0.253372192,-0.018188477
,0.833389282,-0.901885986,-0.047470093
,-0.348175049,-1.184707642,-0.497741699
,-0.538497925,-0.361816406,-0.296310425
,0.383789063,-1.197433472,-0.255203247
,,,
,0.492095947,-1.004272461,-0.183563232
,-0.601455688,-0.951873779,-0.557113647
,-0.211090088,-0.321289063,0.190734863
,1.065872192,-1.001342773,-0.159439087
,-0.531478882,-0.960403442,-0.41835022
,0.067306519,-1.022659302,-0.285507202
,0.080413818,-0.929931641,-0.380050659
,,,
,0.349624634,-1.268295288,-0.465805054
,-0.814178467,-0.900909424,-0.388427734
,0.002059937,-0.225189209,-0.006622314
,0.825683594,-1.414886475,-0.295654297
,-0.467269897,-0.771148682,-0.223846436
,0.180450439,-1.10357666,-0.313873291
,0.169616699,-0.95602417,-0.385162354
,,,
,0.230239868,-0.890335083,-0.281234741
,-0.663970947,-0.848312378,-0.495574951
,-0.327041626,-0.278610229,0.00440979
,0.900115967,-0.917892456,-0.191207886
,-0.510528564,-1.139282227,-0.434677124
