S,X,Y,Z
,0.548751831,-1.428497314,-0.171035767
,0.292373657,-0.585235596,-0.130203247
,-0.543518066,-0.517501831,0.031112671
,-0.722259521,-1.110610962,-0.550003052
,0.6068573,-0.746124268,-0.165664673
,0.494979858,-0.897659302,-0.530548096
,-0.246078491,-1.190826416,-0.787445068
,,,
,0.665756226,-1.258972168,-0.376358032
,0.580368042,-0.343475342,-0.031738281
,-1.143112183,-0.518188477,-0.358764648
,-0.032852173,-0.594833374,-0.702636719
,0.854995728,-0.58480835,-0.835968018
,-0.174224854,-0.390563965,-1.492935181
,-0.152816772,-0.436340332,-0.704574585
,,,
,0.572998047,-1.176467896,-0.366363525
,0.050430298,-0.583892822,-0.139083862
,-1.191665649,-0.744934082,-0.713058472
,0.452957153,-0.550338745,-0.53036499
,0.58026123,-0.694137573,-1.049835205
,-0.215194702,-0.467102051,-1.298629761
,-0.009521484,-0.673919678,-0.623245239
,,,
,0.523971558,-1.23147583,-0.251815796
,0.194915771,-0.640167236,-0.127792358
,-1.064590454,-0.779006958,-0.469696045
,0.75352478,-0.590194702,-0.786453247
,0.738449097,-0.498336792,-1.084274292
,-0.378952026,-0.434753418,-0.929458618
,,,
,0.460494995,-1.422668457,-0.237838745
,0.265548706,-0.487121582,-0.078491211
,-1.262634277,-0.576889038,-0.347320557
,-0.151275635,-0.65435791,-0.083755493
,0.744369507,-0.829055786,-0.578109741
,-0.119033813,-0.931793213,-1.121200562
,-0.061065674,-0.749389648,-0.609115601
,,,
,0.743743896,-1.518859863,-0.26171875
,0.031219482,-0.3462677,0.153457642
,-1.01852417,-0.742904663,-0.472488403
,-0.575531006,-0.52255249,-0.514099121
,0.565658569,-0.727996826,-0.286178589
,0.425994873,-0.975891113,-1.148574829
,-0.286148071,-0.503982544,-0.752807617
,,,
,0.331756592,-1.420166016,-0.231735229
,0.207077026,-0.576370239,-0.006576538
,-0.869857788,-0.583908081,-0.081130981
,-0.118270874,-0.336700439,-0.253646851
,0.780487061,-0.71987915,-0.361618042
,-0.117324829,-1.196792603,-1.275360107
,-0.241912842,-0.642700195,-0.582351685
,,,
,0.184173584,-1.161270142,-0.268203735
,0.578582764,-0.743530273,-0.285766602
,-0.56401062,-0.399856567,-0.212127686
,-1.137954712,-0.864639282,-0.476226807
,0.554351807,-0.637573242,-0.424835205
,0.31137085,-0.757339478,-0.935821533
,-0.157958984,-0.651077271,-1.030548096
,-0.05027771,-0.703216553,-0.608810425
,,,
,0.018417358,-0.464706421,-0.191421509
,0.920227051,-0.77796936,-0.742080688
,-0.353271484,-0.305465698,-0.250213623
,-1.421096802,-0.572662354,-0.523132324
,0.717758179,-0.423782349,-0.592407227
,0.450836182,-0.515487671,-1.470428467
,-0.02885437,-0.378921509,-1.023117065
,,,
,0.92086792,-1.400497437,-0.523162842
,0.099380493,-0.452255249,-0.077545166
,-1.017532349,-0.539749146,-0.441146851
,-0.372772217,-0.649627686,-0.653961182
,0.833526611,-0.397888184,-0.578262329
,0.450073242,-0.519195557,-1.39151001
,-0.053359985,-0.518051147,-1.126556396
,,,
,0.777206421,-1.083953857,-0.175628662
,0.273849487,-0.612884521,-0.144729614
,-0.840835571,-0.80758667,-0.202087402
,0.082138062,-0.54385376,-0.31980896
,0.863037109,-0.762573242,-0.679214478
,0.178268433,-0.671218872,-1.63130188
,-0.16506958,-0.616195679,-0.724243164
,,,
,0.501739502,-1.144210815,-0.173446655
,0.388809204,-0.704879761,-0.173919678
,-0.626647949,-0.553695679,-0.344787598
,-0.709075928,-0.938705444,-0.376724243
,0.400482178,-0.615325928,-0.314727783
,0.371917725,-0.775436401,-0.961914063
,-0.015487671,-0.6849823,-1.099060059
,,,
,0.197753906,-1.084915161,-0.037124634
,0.375656128,-0.679519653,-0.148773193
,-0.793945313,-0.447128296,0.151779175
,-0.718170166,-0.957183838,-0.734848022
,0.43371582,-0.61505127,-0.624435425
,0.428009033,-0.675048828,-1.221572876
,-0.286880493,-0.478515625,-1.030792236
,-0.124237061,-0.612167358,-0.588867188
,,,
,0.55267334,-1.204742432,-0.081176758
,0.063980103,-0.644058228,-0.037277222
,-0.96144104,-0.633789063,-0.191314697
,-0.695022583,-0.762985229,-0.223587036
,0.355026245,-0.681686401,-0.46081543
,0.568405151,-0.683761597,-0.883239746
,-0.118927002,-0.462646484,-1.19921875
,-0.163162231,-0.648239136,-0.672485352
,,,
,0.569534302,-1.096832275,-0.278808594
,0.007644653,-0.706359863,-0.119491577
,-0.674972534,-0.855667114,-0.335220337
,-0.412979126,-0.749328613,-0.290374756
,0.661453247,-0.673721313,-0.572021484
,0.332931519,-0.737991333,-0.992279053
,-0.34815979,-0.577377319,-0.946182251
,-0.126464844,-0.7081604,-0.468688965
,,,
,0.469741821,-1.027954102,-0.453918457
,0.666534424,-0.760253906,-0.133361816
,-0.060089111,-0.533920288,-0.238006592
,-1.121124268,-0.733398438,-0.327651978
,0.588439941,-0.505081177,-0.391738892
,0.793731689,-0.46484375,-1.282913208
,0.058929443,-0.277252197,-1.212112427
,,,
,1.006652832,-1.206115723,-0.362091064
,0.183639526,-0.485290527,-0.119613647
,-0.652236938,-0.585281372,-0.246444702
,-0.529159546,-0.745788574,-0.527893066
,0.603240967,-0.449127197,-0.486709595
,0.827377319,-0.27381897,-1.158325195
,0.080429077,-0.28843689,-1.381637573
,-0.121994019,-0.618865967,-0.497634888
,,,
,0.671569824,-1.29069519,-0.19190979
,0.429779053,-0.651870728,-0.048660278
,-0.554321289,-0.589355469,-0.07522583
,-0.927597046,-0.855102539,-0.315505981
,0.089874268,-0.76965332,-0.098098755
,0.686645508,-0.846725464,-0.556762695
,-0.014572144,-0.995986938,-1.100646973
,-0.214294434,-0.734298706,-0.383758545
,,,
,0.147323608,-1.035095215,-0.190155029
,0.41192627,-1.061660767,-0.242294312
,0.234588623,-0.6222229,-0.051605225
,-0.658554077,-0.751907349,-0.163833618
,-0.785614014,-0.79989624,-0.18522644
,-0.084106445,-0.905349731,-0.155395508
,0.474822998,-0.847351074,-0.465957642
,-0.043792725,-1.196212769,-0.775360107
,-0.297241211,-0.77772522,-0.472488403
,-0.236480713,-0.783966064,-0.369262695
,,,
,0.20262146,-1.081115723,-0.094161987
,0.488494873,-1.050949097,-0.131515503
,0.05960083,-0.681381226,-0.038497925
,-0.755111694,-0.702926636,-0.050323486
,-0.613815308,-0.975250244,-0.40184021
,0.427597046,-0.772476196,-0.321258545
,0.46736145,-0.885665894,-0.305755615
,-0.03894043,-1.028518677,-0.927322388
,-0.121612549,-0.723251343,-0.670135498
