V,X,Y,Z
,-0.148895264,-0.565567017,0.02645874
,-0.16104126,-0.767745972,0.090667725
,0.325531006,-1.714797974,-0.491348267
,0.362121582,-0.879562378,-0.173629761
,0.244567871,-0.789810181,-0.017333984
,,,
,-0.227584839,-0.758178711,-0.180984497
,-0.213195801,-0.987380981,-0.27545166
,0.052383423,-1.465118408,-0.9037323
,0.193008423,-0.48638916,-0.169876099
,,,
,-0.227584839,-0.758178711,-0.180984497
,-0.213195801,-0.987380981,-0.27545166
,0.052383423,-1.465118408,-0.9037323
,0.193008423,-0.48638916,-0.169876099
,,,
,-0.266479492,-0.534912109,-0.18107605
,0.00944519,-1.049285889,-0.187576294
,-0.161026001,-1.435470581,-0.454162598
,0.222579956,-0.423110962,-0.036605835
,,,
,-0.222305298,-0.557266235,-0.033157349
,0.015579224,-1.217971802,-0.580703735
,-0.111358643,-1.442962646,-0.654693604
,0.201065063,-0.558639526,-0.151535034
,,,
,-0.070068359,-0.688171387,-0.040466309
,-0.245117188,-0.565948486,0.079452515
,0.179092407,-1.643936157,-0.581771851
,0.03314209,-0.82383728,-0.299697876
,0.310211182,-0.678573608,0.068237305
,,,
,-0.233566284,-0.566390991,-0.032119751
,-0.056152344,-0.830001831,0.095031738
,0.130706787,-1.680923462,-0.718215942
,0.23487854,-0.613632202,-0.346481323
,0.365570068,-0.82232666,-0.080795288
,,,
,-0.186691284,-0.638122559,-0.014938354
,-0.06338501,-0.628112793,0.05430603
,-0.001571655,-1.559143066,-1.298065186
,0.233047485,-0.649414063,-0.452484131
,0.376068115,-0.719116211,-0.111572266
,,,
,-0.239028931,-0.450393677,-0.068008423
,0.046676636,-1.097183228,-0.120025635
,-0.101333618,-1.157623291,-0.63117981
,0.296066284,-0.580307007,-0.064163208
,,,
,-0.032775879,-0.688766479,0.020980835
,-0.168823242,-0.644180298,-0.006195068
,0.17628479,-1.762741089,-1.190963745
,0.313980103,-0.483276367,-0.344650269
,,,
,-0.227462769,-0.28187561,-0.103179932
,-0.12979126,-1.482940674,-0.513916016
,-0.278869629,-1.599639893,-0.30380249
,0.339004517,-0.338287354,0.039962769
,,,
,-0.33114624,-0.508102417,-0.039962769
,0.073791504,-1.248550415,-0.221191406
,-0.102661133,-1.388778687,-0.522399902
,0.040267944,-0.909729004,-0.409133911
,0.136016846,-0.773498535,-0.029602051
,,,
,-0.151672363,-0.687484741,-0.137557983
,-0.126037598,-0.574478149,-0.069229126
,0.109588623,-1.705978394,-0.617736816
,-0.015350342,-0.649749756,-0.543457031
,0.184509277,-0.814407349,-0.153762817
,,,
,-0.137542725,-0.511123657,0.080490112
,-0.04385376,-0.998260498,-0.279342651
,-0.062896729,-1.656112671,-0.681945801
,0.271759033,-0.74269104,-0.100784302
,0.249832153,-0.778289795,-0.118270874
,,,
,-0.156341553,-0.811935425,-0.056396484
,-0.244842529,-0.434280396,0.043807983
,0.242889404,-1.859268188,-0.955200195
,0.159698486,-0.782226563,-0.475479126
,0.133911133,-0.72416687,0.028213501
,,,
,-0.205871582,-0.404647827,-0.09475708
,0.091049194,-1.337921143,-0.337463379
,-0.065002441,-1.43687439,-0.683670044
,0.221176147,-0.596450806,-0.077896118
,,,
,-0.276947021,-0.658279419,-0.106292725
,0.071105957,-0.979248047,-0.105285645
,-0.044448853,-1.466766357,-0.491363525
,0.005081177,-0.954727173,-0.273513794
,0.181869507,-0.798217773,-0.065750122
,,,
,-0.097290039,-0.700744629,-0.02923584
,-0.202178955,-0.727874756,-0.118209839
,0.010498047,-1.406768799,-0.598312378
,0.067199707,-1.050033569,-0.212020874
,0.095718384,-0.675506592,-0.019012451
,,,
,-0.154632568,-0.632095337,-0.145980835
,-0.131546021,-0.733947754,-0.048660278
,0.097595215,-1.534500122,-0.756912231
,0.142150879,-1.029846191,-0.430892944
,0.076141357,-0.663879395,0.036560059
,,,
,-0.195114136,-0.469482422,-0.196884155
,0.002929688,-0.85206604,-0.339233398
,-0.111068726,-1.35824585,-0.700256348
,0.113021851,-0.566741943,-0.083557129
