Y,X,Y,Z
,-0.154922485,-0.679641724,0.438064575
,-0.629135132,-0.882675171,-0.537078857
,0.338500977,-1.106002808,-0.966873169
,0.386184692,-0.595016479,0.097732544
,0.112335205,-1.063751221,-0.317245483
,-0.185928345,-0.655899048,0.114746094
,-0.039886475,-0.774185181,0.131729126
,-0.044692993,-1.352478027,-0.486694336
,0.086349487,-0.89630127,-0.41696167
,,,
,-0.271026611,-0.73085022,0.06477356
,-0.357467651,-0.597213745,-0.094818115
,0.243728638,-1.431335449,-1.597488403
,0.404815674,-0.606246948,-0.099334717
,0.080291748,-0.99357605,-0.021148682
,-0.221694946,-0.329681396,0.170196533
,0.19694519,-1.722579956,-0.243804932
,0.047134399,-0.948959351,-0.158493042
,,,
,-0.033416748,-0.792114258,0.101959229
,-0.342590332,-1.181289673,-0.405517578
,0.660140991,-0.708023071,-0.211044312
,0.383560181,-0.701416016,-0.085586548
,-0.145599365,-0.364456177,0.034942627
,-0.137771606,-1.648635864,-0.379440308
,0.147979736,-0.920913696,-0.384857178
,,,
,-0.217102051,-0.472457886,0.039962769
,-0.424057007,-1.206085205,-0.449508667
,0.535125732,-0.796264648,-0.481292725
,0.31211853,-0.516281128,0.079788208
,-0.037750244,-0.404006958,0.189941406
,-0.035797119,-1.495391846,-0.448638916
,0.148544312,-0.952835083,-0.305175781
,,,
,-0.108932495,-0.50553894,0.206573486
,-0.482192993,-0.855499268,-0.533477783
,0.552703857,-0.995040894,-0.873306274
,0.212814331,-0.437637329,0.278549194
,-0.2371521,-0.951782227,0.23840332
,0.081848145,-1.238052368,-0.315338135
,,,
,-0.115066528,-0.723632813,0.091567993
,-0.417861938,-0.668869019,-0.266983032
,0.320419312,-1.345092773,-1.087142944
,0.356903076,-0.459716797,-0.003601074
,-0.255386353,-0.394454956,0.100814819
,-0.109313965,-1.329483032,-0.419631958
,0.067398071,-0.89239502,-0.288284302
,,,
,0.041381836,-0.658721924,-0.019058228
,-0.643829346,-1.151428223,-0.071075439
,0.53692627,-0.813156128,-0.295471191
,0.255905151,-0.453918457,0.098968506
,-0.58744812,-0.115447998,0.347198486
,0.144699097,-1.427108765,-0.535339355
,0.132247925,-0.885131836,-0.263214111
,,,
,-0.091720581,-0.73576355,0.131347656
,-0.508544922,-0.627960205,-0.02432251
,0.448013306,-1.091125488,-0.843841553
,0.386749268,-0.386413574,0.10357666
,-0.010696411,-0.324890137,0.150939941
,0.186233521,-2.105392456,-1.036117554
,0.08807373,-0.784500122,-0.408935547
,,,
,-0.091720581,-0.73576355,0.131347656
,-0.508544922,-0.627960205,-0.02432251
,0.448013306,-1.091125488,-0.843841553
,0.386749268,-0.386413574,0.10357666
,-0.010696411,-0.324890137,0.150939941
,0.186233521,-2.105392456,-1.036117554
,0.08807373,-0.784500122,-0.408935547
,,,
,-0.192169189,-0.547271729,0.133911133
,-0.426940918,-1.626205444,-0.489974976
,0.427688599,-0.743087769,-0.331451416
,0.427383423,-0.524978638,-0.284866333
,-0.190139771,-0.473968506,0.134429932
,0.201721191,-1.559906006,-1.235641479
,0.280166626,-0.775482178,-0.398406982
,,,
,-0.082702637,-0.878646851,0.13168335
,-0.558456421,-0.33644104,0.225524902
,-0.281509399,-1.869918823,-0.993728638
,0.677337646,-0.651565552,-0.286697388
,0.302200317,-0.40071106,0.121032715
,0.038772583,-0.67880249,-0.048583984
,0.267532349,-1.60043335,-1.010437012
,0.355117798,-0.821563721,-0.451919556
,,,
,-0.174179077,-0.837753296,0.150405884
,-0.307769775,-0.334945679,0.168045044
,0.525421143,-1.475585938,-2.06930542
,0.445098877,-0.422988892,-0.314407349
,0.458084106,-0.487319946,0.121810913
,0.062484741,-0.587997437,-0.008300781
,0.033187866,-1.38848877,-0.790786743
,0.258682251,-0.819869995,-0.452484131
,,,
,-0.296661377,-0.71824646,0.182922363
,-0.280273438,-0.48916626,0.265655518
,-0.156005859,-1.332580566,-1.639892578
,0.420883179,-0.520111084,-0.285186768
,0.34274292,-0.460449219,-0.029907227
,-0.015457153,-0.969070435,-0.623214722
,-0.136810303,-1.149047852,-0.763183594
,,,
,-0.262191772,-0.625228882,-0.021881104
,-0.586486816,-0.484436035,-0.489517212
,0.305130005,-1.137680054,-1.254486084
,0.397415161,-0.402511597,-0.301803589
,0.310516357,-0.461715698,-0.042129517
,0.165512085,-1.147735596,-0.756347656
,-0.038818359,-1.011734009,-0.543151855
,,,
,-0.14654541,-0.950073242,0.237564087
,-0.339202881,-0.553527832,0.268188477
,-0.56880188,-0.930236816,-0.284667969
,0.189193726,-0.932861328,-1.542770386
,0.388778687,-0.296676636,-0.037887573
,0.281936646,-0.459854126,0.08732605
,0.105560303,-1.567153931,-0.550308228
,0.252868652,-0.97555542,-0.570831299
,,,
,-0.367172241,-0.687698364,-0.063873291
,-0.646438599,-0.379547119,-0.339538574
,0.079605103,-1.086257935,-1.848373413
,0.569076538,-0.248031616,-0.030075073
,0.082229614,-0.563491821,-0.121261597
,0.108108521,-1.63432312,-0.326568604
,0.16758728,-0.916763306,-0.487335205
,,,
,-0.165115356,-0.899505615,0.07043457
,-0.299560547,-0.343460083,0.297592163
,-0.244918823,-1.64982605,-1.771484375
,0.283401489,-0.583786011,-0.352081299
,0.460769653,-0.349868774,0.118148804
,-0.304031372,-0.891403198,-0.623565674
,-0.196884155,-1.039489746,-0.561920166
,,,
,-0.254943848,-0.627716064,0.240219116
,-0.638137817,-0.170211792,0.150131226
,-0.058380127,-1.294189453,-2.287979126
,0.479370117,-0.390426636,0.160766602
,0.266082764,-0.420593262,0.262771606
,-0.101135254,-1.339492798,-0.993942261
,-0.010131836,-0.738845825,-0.591369629
,,,
,-0.151702881,-0.900177002,-0.116027832
,-0.24395752,-0.622619629,-0.036453247
,-0.903442383,-0.309326172,-0.256576538
,0.740280151,-0.874023438,-0.802780151
,0.351577759,-0.217391968,0.15335083
,-0.045410156,-0.809707642,0.102279663
,-0.127243042,-1.408325195,-0.636032104
,0.164978027,-0.836273193,-0.461914063
,,,
,-0.187408447,-0.878585815,0.140029907
,-0.174560547,-0.573226929,0.245147705
,-0.545410156,-0.501739502,0.050506592
,-0.130737305,-1.066864014,-1.490509033
,0.313659668,-0.387237549,-0.345443726
,0.43019104,-0.603546143,0.020812988
,-0.077377319,-0.705505371,-0.229370117
,-0.036819458,-1.07232666,-0.807861328
