B,X,Y,Z
,0.073760986,-1.198654175,-0.522674561
,-0.130706787,-0.958267212,-0.439422607
,-0.386474609,-0.494888306,-0.05670166
,-0.000701904,-0.627914429,-0.031478882
,0.675140381,-1.336486816,-0.154144287
,-0.537399292,-0.951461792,-0.496307373
,-0.09753418,-0.743545532,-0.107772827
,0.503890991,-0.932449341,-0.273284912
,0.16166687,-1.02935791,-0.393157959
,,,
,0.029922485,-1.21434021,-0.374984741
,-0.234634399,-0.861312866,-0.347351074
,-0.504684448,-0.321609497,-0.188140869
,0.349609375,-0.618774414,0.22593689
,0.002166748,-1.382705688,-0.427886963
,-0.402832031,-0.882568359,-0.208557129
,0.15713501,-0.786254883,-0.218948364
,0.326019287,-1.196472168,-0.391036987
,-0.263580322,-0.971603394,-0.482940674
,,,
,0.065734863,-1.723480225,-0.997497559
,-0.102325439,-0.605026245,-0.331741333
,-0.449401855,-0.240631104,-0.215148926
,1.173751831,-1.447494507,-0.154724121
,-0.71421814,-0.969985962,-0.570861816
,0.017868042,-0.581863403,-0.015869141
,0.828033447,-0.936965942,-0.441223145
,-0.19480896,-0.923110962,-0.854370117
,,,
,0.178863525,-1.601013184,-0.96421814
,-0.24597168,-0.711776733,-0.208648682
,-0.267700195,-0.08001709,0.15536499
,0.858230591,-1.167221069,-0.524688721
,-0.692764282,-0.902297974,-0.29069519
,0.617935181,-0.636749268,-0.08996582
,0.343719482,-1.255310059,-0.78578186
,-0.02961731,-0.998916626,-0.496307373
,,,
,-0.036102295,-1.71244812,-0.356170654
,-0.131454468,-0.881240845,-0.309158325
,-0.465194702,-0.16305542,-0.206893921
,0.973510742,-1.285064697,-0.097961426
,-0.773727417,-0.935440063,-0.481704712
,0.440933228,-0.519927979,-0.109329224
,0.127731323,-1.175369263,-0.566848755
,-0.076782227,-0.830123901,-0.577880859
,,,
,0.13269043,-1.665039063,-0.884674072
,-0.22416687,-0.681549072,-0.305465698
,-0.233963013,-0.025115967,-0.230316162
,0.899871826,-1.282836914,-0.061172485
,-0.864639282,-0.760528564,-0.376998901
,0.69342041,-0.553192139,-0.108093262
,0.616439819,-1.184143066,-0.571594238
,-0.171234131,-0.824295044,-0.766021729
,,,
,0.140060425,-1.618423462,-0.663146973
,-0.338973999,-0.685760498,-0.138442993
,-0.392990112,-0.216796875,0.204818726
,1.074752808,-1.377120972,-0.482910156
,-0.836074829,-0.886474609,-0.393508911
,0.309738159,-0.540908813,-0.068832397
,0.689041138,-1.102859497,-0.242843628
,-0.088470459,-0.993133545,-0.629684448
,,,
,0.281387329,-1.659088135,-0.553375244
,-0.25869751,-0.651779175,-0.619827271
,-0.287246704,-0.282104492,0.026748657
,0.785049438,-1.193817139,-0.187820435
,-0.659591675,-1.096343994,-0.395111084
,0.033752441,-0.691375732,-0.229751587
,0.694732666,-1.089355469,-0.1665802
,0.147491455,-1.006225586,-0.507675171
,,,
,0.049926758,-1.529220581,-0.5572052
,-0.140991211,-0.729812622,-0.379837036
,-0.226470947,-0.116195679,-0.117523193
,0.833053589,-1.215805054,-0.297866821
,-0.842269897,-0.990707397,-0.432189941
,0.236740112,-0.600646973,0.065536499
,0.472290039,-1.20199585,-0.519699097
,-0.028930664,-0.959655762,-0.502197266
,,,
,0.112304688,-0.937133789,-0.358505249
,-0.310150146,-1.14616394,-0.648086548
,-0.56829834,-0.257125854,-0.104766846
,1.008712769,-0.581832886,0.021240234
,-0.312942505,-1.649688721,-0.633666992
,-0.108551025,-0.694091797,-0.239089966
,0.574859619,-0.819061279,-0.258041382
,-0.158096313,-1.084960938,-0.646102905
,0.192276001,-0.787063599,-0.445480347
,,,
,0.210327148,-0.970458984,-0.395172119
,0.145431519,-1.270965576,-0.567337036
,-0.095916748,-0.725189209,-0.361358643
,-0.159393311,-0.140350342,0.334259033
,1.148162842,-0.968673706,0.21232605
,-0.408370972,-1.181610107,-0.448013306
,0.310165405,-0.374221802,-0.2056427
,0.803970337,-1.21383667,-0.766784668
,0.209487915,-0.730300903,-0.67024231
,,,
,0.063644409,-1.287277222,-0.216217041
,-0.171951294,-1.101882935,-0.290985107
,-0.278961182,-0.275482178,-0.136413574
,0.5859375,-0.847229004,0.467758179
,-0.549041748,-1.349899292,-0.213912964
,-0.1146698,-0.58203125,-0.137298584
,0.826004028,-0.790008545,-0.176605225
,0.072128296,-1.171691895,-0.422271729
,-0.02456665,-0.861251831,-0.490386963
,,,
,0.126296997,-1.334381104,-0.390991211
,-0.136444092,-1.163726807,-0.473510742
,-0.473892212,-0.244934082,-0.225296021
,1.154281616,-1.044433594,0.212722778
,-0.800552368,-1.173782349,-0.366287231
,0.324401855,-0.640655518,-0.004196167
,0.665542603,-0.908065796,-0.472427368
,-0.044662476,-1.134872437,-0.543258667
,0.16003418,-0.81980896,-0.372497559
,0.195953369,-0.901702881,-0.403289795
,,,
,0.341308594,-1.35194397,-0.51449585
,-0.054611206,-0.994720459,-0.314529419
,-0.233505249,-0.566741943,-0.133529663
,0.206741333,-0.643951416,0.187561035
,0.094924927,-1.488433838,-0.021682739
,-0.238342285,-0.867492676,-0.238555908
,0.318817139,-0.613067627,-0.234329224
,0.176132202,-1.3699646,-0.58555603
,0.137023926,-0.816635132,-0.482421875
,,,
,0.132171631,-1.287368774,-0.185150146
,-0.151000977,-0.901184082,-0.339477539
,-0.520523071,-0.175674438,0.109298706
,0.782165527,-0.91708374,0.326034546
,-0.690994263,-1.411605835,-0.46786499
,0.139907837,-0.44972229,0.131988525
,0.512054443,-1.232696533,-0.15335083
,0.037353516,-1.00958252,-0.594451904
,,,
,0.132171631,-1.287368774,-0.185150146
,-0.151000977,-0.901184082,-0.339477539
,-0.520523071,-0.175674438,0.109298706
,0.782165527,-0.91708374,0.326034546
,-0.690994263,-1.411605835,-0.46786499
,0.139907837,-0.44972229,0.131988525
,0.512054443,-1.232696533,-0.15335083
,0.037353516,-1.00958252,-0.594451904
,,,
,0.087356567,-1.094070435,-1.035629272
,-0.138778687,-0.662124634,-0.722732544
,-0.412445068,-0.294281006,-0.049331665
,0.768127441,-0.627319336,0.118759155
,-0.142425537,-1.060974121,-1.165374756
,-0.231506348,-0.389465332,-0.537124634
,0.936706543,-0.515975952,-0.389160156
,-0.019058228,-0.706771851,-1.327926636
,0.076248169,-0.565841675,-0.742431641
,,,
,0.28364563,-1.072097778,-1.526199341
,-0.061172485,-0.638015747,-0.740020752
,-0.624725342,-0.007766724,0.37802124
,1.202407837,-0.585098267,-0.218338013
