F,X,Y,Z
,-0.009780884,-0.967880249,-0.039916992
,-0.004089355,-0.983627319,0.032241821
,0.00189209,-0.892028809,0.141342163
,-0.029144287,-0.62878418,-0.121063232
,0.098480225,-0.824676514,-1.073806763
,0.036880493,-1.182540894,-0.817947388
,-0.429412842,-0.291870117,0.25541687
,0.250900269,-0.854248047,-0.274963379
,0.55456543,-0.642120361,-0.020202637
,-1.146759033,-1.064468384,-0.120605469
,0.158279419,-0.734405518,-0.280609131
,0.060211182,-0.925247192,-0.096450806
,,,
,-0.035583496,-0.982208252,-0.092727661
,-0.041290283,-0.971572876,-0.063583374
,0.052062988,-0.393829346,0.321838379
,0.050201416,-0.828170776,-1.073730469
,0.18321228,-0.863586426,-1.405731201
,-0.723190308,-0.272064209,0.071136475
,-0.392684937,-0.851501465,-0.01612854
,1.396469116,-1.048858643,-0.4765625
,-0.38369751,-0.886474609,-0.323669434
,-0.959472656,-0.669265747,-0.757476807
,0.776367188,-1.147918701,-0.36895752
,,,
,-0.030487061,-0.985595703,0.217819214
,-0.005554199,-0.877105713,0.127166748
,-0.149475098,0.00994873,0.532684326
,0.742416382,-1.060745239,-3.913101196
,-0.105255127,-0.278564453,0.196655273
,-0.934906006,-0.429794312,-0.081039429
,1.935272217,-1.145645142,-0.612472534
,-0.487640381,-0.695159912,-0.762481689
,-0.862869263,-0.510223389,-0.78465271
,0.959884644,-0.998458862,-0.840545654
,,,
,-0.032608032,-0.809570313,0.114959717
,-0.07623291,-0.303863525,-0.173690796
,0.219772339,-0.559799194,-2.651763916
,0.054000854,0.208480835,-0.84185791
,-0.902282715,-0.341491699,0.539276123
,1.216156006,-0.515777588,-0.975540161
,0.434371948,-0.602676392,-0.220809937
,-0.991241455,-0.947372437,-0.816497803
,0.522384644,-0.402679443,-0.824386597
,0.269439697,-0.797058105,-0.246520996
,,,
,0.038238525,-0.820480347,0.037734985
,-0.073989868,-0.639007568,0.164047241
,-0.03855896,0.318649292,-0.25163269
,0.213897705,-0.410507202,-2.823913574
,-0.800598145,-0.085769653,0.165100098
,-0.069137573,-0.045410156,-0.925308228
,1.508300781,-0.505630493,0.03024292
,-1.010742188,-0.56161499,-1.081863403
,0.588684082,-0.286437988,-1.122695923
,0.191192627,-0.754898071,-0.420211792
,,,
,-0.137786865,-0.813964844,-0.036056519
,0.008087158,-0.23059082,-0.164672852
,0.509841919,-0.778808594,-2.783615112
,-0.30519104,0.178009033,-0.413421631
,-0.783493042,-0.577713013,-0.050308228
,2.044876099,-1.040924072,0.123962402
,0.168411255,-0.33895874,-0.291107178
,-0.859832764,-0.481246948,-1.150238037
,1.384109497,-0.931137085,-0.810470581
,0.162719727,-0.786834717,-0.590545654
,,,
,0.001785278,-0.882507324,-0.105926514
,0.023239136,-0.723022461,-0.112106323
,-0.20098877,0.115203857,-0.275177002
,0.536605835,-0.075881958,-2.868591309
,-0.112442017,-0.106140137,-0.129623413
,-1.05267334,-0.116287231,-0.443847656
,1.4480896,-0.821289063,-0.430908203
,-0.829208374,-0.691085815,-0.227157593
,-1.409545898,-0.092056274,-1.127990723
,1.242202759,-1.087234497,-0.069702148
,,,
,-0.018508911,-0.9349823,-0.016387939
,-0.003585815,-1.007461548,-0.122589111
,-0.043746948,-0.52482605,0.160736084
,0.147735596,0.023864746,-0.853363037
,0.189193726,0.120880127,-2.111526489
,-0.156448364,-0.149536133,0.02772522
,-0.77432251,-0.639846802,-0.256668091
,2.018112183,-0.929580688,-0.272964478
,-0.102920532,-0.250289917,-0.737030029
,-0.949554443,-0.393112183,-1.693908691
,1.361816406,-0.453063965,-0.977050781
,0.031890869,-0.479049683,-0.773071289
,,,
,0.036834717,-0.834091187,0.067108154
,0.001281738,0.33946228,-0.175811768
,0.766784668,-0.030227661,-3.834686279
,-0.378051758,0.164978027,0.279464722
,0.034957886,-0.251754761,-1.100448608
,1.31086731,-0.602935791,0.657424927
,-0.909225464,-0.571151733,-1.378646851
,0.61807251,-0.102615356,-1.478607178
,,,
,-0.068237305,-0.630996704,0.302108765
,0.101867676,0.357345581,-0.753646851
,0.158065796,0.431259155,-2.589385986
,-0.005218506,0.009719849,0.272140503
,-1.061416626,-0.661849976,-0.087036133
,1.596374512,-0.845581055,-0.984909058
,0.076171875,-0.477142334,-0.416793823
,-0.589263916,-0.766448975,-0.917617798
,1.022018433,-0.599990845,-0.261383057
,0.493347168,-0.697280884,-0.276611328
,,,
,0.000701904,-1.000656128,0.010467529
,-0.11151123,-0.791946411,0.242645264
,0.03237915,0.610275269,-0.404800415
,1.209823608,0.448867798,-2.558670044
,-0.6743927,0.20892334,0.062255859
,-0.494506836,-0.537872314,-0.939758301
,1.899276733,-0.708709717,-0.096740723
,-0.694885254,-0.209579468,-1.436859131
,-0.072692871,-0.007247925,-1.239303589
,0.426422119,-0.633026123,-0.731567383
,,,
,0.027572632,-0.987182617,0.026290894
,-0.140975952,-0.32043457,0.458175659
,0.503082275,0.58921814,-1.875228882
,0.652374268,0.938186646,-1.615356445
,-1.340042114,-0.208572388,-0.032073975
,2.21307373,-0.509140015,-0.590621948
,0.511993408,-0.061645508,-0.08934021
,-0.891174316,-0.487854004,-1.58013916
,1.28894043,-0.738204956,-0.698287964
,,,
,-0.02583313,-0.817642212,0.164993286
,-0.10067749,-0.497451782,0.236465454
,0.15284729,0.430603027,-1.219467163
,0.577362061,0.305633545,-2.18460083
,-0.912918091,0.045578003,0.059036255
,-0.064651489,-0.506210327,-0.852539063
,0.970825195,-0.472305298,-0.339370728
,-1.595855713,-0.537246704,-1.856735229
,1.597869873,-0.908432007,-0.26361084
,0.333694458,-0.699813843,-0.642944336
,,,
