R,X,Y,Z
,0.09336853,-1.035064697,-0.468231201
,-0.161605835,-1.275192261,-0.499938965
,-0.115005493,-0.764877319,-0.423126221
,0.119277954,-0.444946289,0.133209229
,0.915908813,-1.299057007,-0.232162476
,-0.676254272,-0.640335083,-0.116470337
,0.337524414,-1.219268799,-0.383499146
,0.31690979,-1.098007202,-0.215759277
,,,
,0.018585205,-1.511611938,-0.244689941
,-0.201583862,-0.983062744,0.005935669
,-0.300506592,-0.328445435,0.015380859
,0.910751343,-0.891983032,0.246322632
,-0.720825195,-1.427062988,-0.479385376
,-0.277374268,-0.590744019,-0.114028931
,0.490097046,-1.343460083,-0.496765137
,,,
,0.052124023,-1.181060791,-0.206756592
,-0.050552368,-1.104553223,-0.145721436
,-0.377029419,-0.526763916,-0.186065674
,0.503433228,-0.583267212,0.112731934
,0.221893311,-1.550369263,-0.101501465
,-0.534164429,-0.679428101,-0.046585083
,0.172912598,-1.141601563,-0.294250488
,,,
,-0.004943848,-1.383361816,-0.460830688
,-0.16229248,-0.922149658,-0.108184814
,-0.337402344,-0.39503479,-0.076049805
,0.953491211,-0.916732788,0.149688721
,-0.500350952,-1.344909668,-0.367553711
,-0.27633667,-0.49206543,-0.160568237
,0.313659668,-1.296218872,-0.351501465
,,,
,0.141860962,-1.418945313,-0.62008667
,-0.104812622,-0.955169678,-0.223007202
,-0.272232056,-0.644302368,-0.209564209
,0.484329224,-0.653671265,0.366363525
,0.176361084,-1.366043091,-0.302886963
,-0.417037964,-0.823425293,-0.1590271
,0.066070557,-0.933135986,-0.301040649
,,,
,0.031387329,-1.004348755,-0.228210449
,-0.031112671,-1.212112427,-0.212249756
,-0.389007568,-0.526977539,-0.211685181
,0.74357605,-0.634399414,0.283996582
,-0.185516357,-1.531082153,-0.336029053
,-0.57673645,-0.556655884,-0.188674927
,0.550750732,-1.348937988,-0.4815979
,,,
,0.135131836,-1.417495728,-0.328445435
,-0.010025024,-1.063400269,-0.461700439
,-0.367080688,-0.557434082,-0.077362061
,0.734085083,-0.764831543,0.126876831
,-0.42616272,-1.10168457,-0.241500854
,0.000808716,-0.940856934,-0.198486328
,0.293258667,-1.084106445,-0.042358398
,,,
,0.016906738,-1.102874756,-0.250854492
,-0.137374878,-1.135742188,-0.339782715
,-0.29019165,0.026153564,-0.03137207
,1.208312988,-1.83694458,-0.598373413
,-0.969482422,-0.170425415,0.181137085
,0.450042725,-1.45223999,-0.386383057
,0.196960449,-1.00227356,-0.312255859
,,,
,0.144134521,-1.951431274,-0.494720459
,-0.174560547,-0.827819824,-0.131027222
,0.146453857,-0.266845703,0.176895142
,-0.230010986,-1.221237183,-0.39263916
,-0.038085938,-1.023620605,-0.383621216
,0.272827148,-1.023574829,-0.451904297
,,,
,-0.076019287,-1.150375366,-0.240753174
,-0.068496704,-1.146713257,-0.018844604
,-0.510528564,-0.32144165,-0.186264038
,1.078536987,-1.059295654,0.137191772
,-0.762832642,-0.80027771,-0.091995239
,0.405639648,-1.333969116,-0.331069946
,-0.030136108,-0.953826904,-0.311187744
,-0.016036987,-0.902374268,-0.403747559
,,,
,0.019500732,-0.999786377,-0.213165283
,-0.048217773,-1.194412231,-0.216293335
,-0.409744263,-0.414718628,0.001449585
,0.690856934,-0.726547241,0.251968384
,-0.263137817,-1.253082275,-0.376434326
,-0.462203979,-0.558822632,-0.159912109
,0.310455322,-1.231903076,-0.55116272
,,,
,0.092437744,-0.898208618,-0.201461792
,-0.094924927,-1.666824341,-0.294494629
,-0.119689941,-0.606246948,-0.094512939
,0.111831665,-0.24382019,0.332763672
,0.286621094,-1.306854248,-0.301223755
,-0.443847656,-0.63911438,-0.266952515
,0.554946899,-1.356628418,-0.50352478
,,,
,0.189849854,-1.613098145,-0.396972656
,-0.30847168,-0.823303223,-0.174728394
,0.244934082,-0.116943359,0.313995361
,0.478424072,-1.422332764,-0.637802124
,-0.71963501,-0.42124939,-0.134536743
,0.39906311,-1.295227051,-0.27947998
,,,
,0.120880127,-1.337875366,-0.076690674
,-0.18347168,-0.972915649,-0.165557861
,-0.259170532,-0.187362671,0.304672241
,1.166976929,-1.139312744,-0.117462158
