k,X,Y,Z
,0.069610596,-0.798446655,-0.360168457
,-0.062545776,-1.185134888,-0.561157227
,0.05847168,-0.2840271,0.066101074
,-0.038970947,-0.668151855,0.152770996
,-0.370834351,-1.838516235,-0.192504883
,1.300979614,-0.256286621,-0.039794922
,-0.668716431,-0.787582397,0.221878052
,-0.238510132,-0.827697754,-0.167678833
,0.655075073,-1.538894653,-0.246994019
,-0.200378418,-0.643035889,-0.029449463
,-0.092453003,-0.756362915,-0.038619995
,-0.073318481,-1.133178711,-0.124954224
,-0.102081299,-1.024551392,-0.196578979
,0.021286011,-0.971542358,-0.182525635
