W,X,Y,Z
,-0.018508911,-0.500488281,-0.079681396
,0.059631348,-1.234573364,-0.131530762
,-0.070953369,-1.712463379,-1.138076782
,-0.194030762,-0.280410767,-0.123275757
,0.182266235,-0.168014526,-0.076858521
,-0.0184021,-0.832305908,0.031646729
,0.069381714,-1.822097778,-1.423751831
,0.166748047,-0.783111572,-0.376922607
,0.120117188,-0.703826904,0.074920654
,,,
,-0.085235596,-0.725158691,0.412475586
,0.020690918,-0.589523315,0.070297241
,-0.28276062,-1.348434448,-0.607666016
,0.041488647,-1.458587646,-0.779571533
,0.000900269,-1.008270264,0.147384644
,0.051132202,-0.301055908,0.060333252
,0.13104248,-0.801437378,0.025604248
,0.307785034,-1.441268921,-0.638778687
,0.191162109,-1.152770996,-0.537841797
,0.058563232,-0.757888794,-0.252670288
,0.103973389,-0.75958252,-0.003829956
,,,
,0.003860474,-0.730743408,0.126724243
,0.010482788,-0.387115479,0.275909424
,-0.287414551,-1.530685425,-0.077392578
,-0.097106934,-1.382080078,-0.743591309
,-0.005630493,-0.350921631,-0.006866455
,-0.026702881,-0.448364258,0.035476685
,-0.070983887,-1.334472656,0.127838135
,-0.060058594,-1.607421875,-0.48008728
,0.007720947,-0.661407471,-0.435394287
,0.035873413,-0.696136475,-0.156082153
,,,
,0.06111145,-0.486679077,-0.04284668
,-0.160400391,-1.088562012,0.113754272
,-0.14276123,-1.974395752,-0.615783691
,0.057632446,-0.608322144,-0.265014648
,-0.024047852,-0.184936523,0.15335083
,-0.163238525,-1.354507446,0.304122925
,0.277481079,-1.983505249,-0.390594482
,0.028182983,-0.672241211,-0.271072388
,0.079864502,-0.580459595,-0.175552368
,,,
,-0.043823242,-0.791717529,0.14855957
,-0.103378296,-0.6199646,0.181091309
,-0.164138794,-1.355514526,-0.451828003
,-0.211288452,-1.665649414,-0.509002686
,0.019577026,-0.692596436,-0.102813721
,-0.07800293,-0.336807251,0.051391602
,0.102386475,-0.785507202,0.169784546
,0.080230713,-1.405578613,-0.387252808
,0.028091431,-1.117095947,-0.305892944
,-0.029571533,-0.828582764,-0.191192627
,0.076843262,-0.711578369,0.083953857
,,,
,-0.114654541,-0.727325439,0.107559204
,-0.027954102,-0.595458984,0.037689209
,-0.2605896,-1.245117188,-0.015014648
,-0.134658813,-1.900375366,-0.482421875
,-0.114349365,-0.947860718,-0.398239136
,0.028564453,-0.262741089,0.068817139
,0.026870728,-0.646850586,0.204666138
,-0.200775146,-1.4503479,-0.218536377
,-0.134933472,-1.487854004,-0.063858032
,0.076690674,-0.728302002,-0.320419312
,0.18019104,-0.79347229,0.003997803
,,,
,0.058700562,-0.490722656,-0.021026611
,-0.109695435,-0.817581177,-0.096557617
,-0.170516968,-1.5572052,-0.222259521
,-0.040145874,-1.252227783,-0.327270508
