Z,X,Y,Z
,-0.32699585,-1.02746582,-0.136169434
,-0.462249756,-0.535644531,0.384384155
,1.043334961,-0.93572998,-0.100799561
,-0.045852661,-0.768234253,-0.211654663
,-0.521057129,-1.157043457,-0.346984863
,-0.365463257,-0.959365845,-0.468490601
,0.577636719,-0.919433594,-0.247665405
,,,
,-0.154769897,-0.889205933,0.158966064
,-0.657730103,-0.750366211,0.148300171
,0.289962769,-1.04019165,0.099105835
,0.352935791,-0.84072876,0.039230347
,0.126724243,-1.0128479,-0.162582397
,-0.241851807,-1.253997803,-0.328414917
,-0.316436768,-1.003845215,-0.264846802
,0.117492676,-0.801498413,-0.348144531
,0.295440674,-1.029663086,-0.251586914
,0.065292358,-0.956039429,-0.382095337
,0.087387085,-0.919082642,-0.457427979
,,,
,-0.630462646,-0.935470581,-0.058761597
,-0.158081055,-0.733810425,0.067474365
,0.278991699,-1.012451172,0.041412354
,0.484313965,-0.689315796,0.133895874
,-0.518066406,-1.491607666,-0.202194214
,-0.384872437,-0.941986084,-0.02645874
,-0.101409912,-0.944442749,-0.306091309
,0.234741211,-0.944824219,-0.28503418
,,,
,-0.176727295,-0.900878906,0.047576904
,-0.401443481,-0.588409424,0.007705688
,0.572006226,-1.133483887,-0.09777832
,0.48286438,-0.732498169,0.071121216
,-0.541564941,-1.328430176,-0.422897339
,-0.039627075,-1.011154175,-0.250488281
,-0.226028442,-0.938018799,-0.469619751
,0.323501587,-1.028549194,-0.214096069
,,,
,-0.175918579,-0.895202637,0.087921143
,-0.46546936,-0.982452393,0.081619263
,0.194137573,-0.961975098,0.025177002
,0.304611206,-0.926925659,0.028915405
,0.274871826,-0.60093689,0.050201416
,-0.631851196,-1.356628418,-0.052047729
,-0.205047607,-0.968231201,-0.06628418
,-0.082672119,-0.91305542,-0.333312988
,0.288192749,-1.042007446,-0.217102051
,0.106933594,-1.028793335,-0.248519897
,,,
,-0.027648926,-1.045806885,0.122894287
,-0.601989746,-0.702148438,0.174530029
,0.203491211,-1.045700073,0.123214722
,0.410476685,-0.800628662,0.080703735
,0.350570679,-0.801925659,0.1431427
,-0.118087769,-1.409912109,-0.296295166
,-0.160980225,-1.036331177,-0.105834961
,-0.148468018,-0.972610474,-0.303863525
,0.31578064,-1.01210022,-0.103927612
,,,
,-0.192489624,-0.893508911,0.205047607
,-0.373291016,-0.889968872,0.139953613
,-0.192825317,-0.946624756,0.067276001
,0.322250366,-0.973495483,0.010253906
,0.268951416,-0.877304077,0.162002563
,0.182510376,-0.867935181,-0.04888916
,-0.246246338,-1.248779297,-0.257629395
,-0.100540161,-1.069534302,-0.142807007
,-0.318115234,-0.908874512,-0.171600342
,0.237106323,-0.953582764,-0.165939331
,0.170471191,-0.936721802,-0.165023804
,,,
,-0.294403076,-0.943710327,0.18548584
,-0.46546936,-0.948822021,0.061203003
,0.078918457,-0.975570679,0.081085205
,0.303131104,-0.974472046,0.174362183
,0.192687988,-0.713531494,0.187850952
,-0.091079712,-1.35256958,0.113967896
,-0.127075195,-1.203292847,-0.103530884
,-0.250534058,-0.96736145,-0.078720093
,-0.006546021,-0.864547729,-0.325775146
,0.202392578,-1.048126221,-0.231399536
,,,
,-0.342956543,-0.834228516,0.141326904
,-0.454772949,-0.941986084,0.120986938
,0.043289185,-0.942184448,0.01322937
,0.302597046,-0.996688843,0.168136597
,0.28868103,-0.70098877,0.08039856
,-0.085098267,-1.07824707,-0.083023071
,-0.226699829,-1.107086182,-0.101867676
,-0.1587677,-1.012619019,-0.179199219
,0.052963257,-0.972381592,-0.106781006
,0.20954895,-0.966720581,-0.15687561
,,,
,-0.12828064,-0.929229736,0.003189087
,-0.433929443,-1.021240234,0.17074585
,0.101196289,-1.047607422,-0.104858398
,0.091506958,-0.986495972,-0.037918091
,0.306884766,-0.741607666,0.024276733
,0.124862671,-1.008758545,0.089675903
,-0.202774048,-1.139968872,0.05708313
